序號,類別,題目,選項A,選項B,選項C,選項D,答案
23,網路服務平臺安全使用,近年來因網路及行動裝置的普及，讓網路直播成為一門新興職業，以下哪一種行為是身為直播主應該要注意的？,穿著暴露的服裝吸引觀眾。,直播時辱罵他人。,選擇安全的地點進行直播。,直播時做出危險行為。,C
24,網路服務平臺安全使用,社群網站能使朋友間的聯繫更為緊密，但容易淪為詐騙集團的犯罪工具，關於防範社群網站的詐騙，以下敘述哪一項正確？,只要跟金錢無關就沒有問題。,我的朋友都是好人，絕對不會向我行騙。,對於網友的要求都要小心謹慎。,義不容辭幫久未連絡的朋友購買點數卡。,C
25,網路服務平臺安全使用,透過社群網站平臺，可以快速傳播商品資訊，如果想要利用社群網站平臺進行行銷推廣，請問以下敘述哪一項正確？,必須遵守社群網站平臺相關規範。,批評競爭對手的商品，抬高自身產品價值。,誇大產品功能，引起注意力。,分享與商品無關的模特兒圖片吸引注意。,A
26,網路禮儀,如果看到有人在公開討論區用不雅文字互相攻擊，我們應該要採取何種行為較為適當？,不明就裡，直接指責理虧的一方。,回報討論區管理員處理。,鼓勵雙方截圖提告。,透過網路人肉搜索，公開當事人的個資。,B
27,網路禮儀,在網路上發表個人言論時，下列哪一種行為是正確的？,在網路上散布不實言論，而造成他人名譽損傷，只要匿名就不會造成誹謗罪。,網路是開放的，無需他人同意即可轉載或轉錄他人言論、文字。,尊重他人的發言，避免發表攻擊或偏見的言論。,遭受到網友的言論攻擊時，一定要立刻留言反擊。,C
28,網路禮儀,以下哪一個選項不合乎撰寫電子郵件應有的網路禮儀？,不傳送垃圾郵件，以免造成收件人困擾,確認附件檔案大小以及可用性,郵件內容主題明確，言簡意賅，也要記得署名。,使用大量火星文、注音文或新潮用語。,D
29,網路禮儀,當有新的成員加入通訊軟體群組中，我們應該如何進行互動交流？,要求新成員分享個人清涼照,表現出歡迎與友善的態度,建議不要回應特定成員的留言,詢問新成員的家庭背景與經濟狀況，加速彼此的認識,B
30,網路禮儀,在留言板中看到網友發表不當的攻擊言論，下列哪一個因應方式可能較適當？,立即回應予以抨擊，看誰能吵贏。,善意提醒該言論可能引發的法律風險。,將這段內容轉發至其他網路平臺。,呼應該名網友的言論，一起謾罵攻擊。,B
31,遠離網路沉迷,智慧型手機越來越盛行，低頭滑手機的「低頭族」也越來越多，請問下列有關「低頭族」的敘述哪一項正確？        ,不會引起頸椎疾病。,邊走路，邊低頭滑遊戲，可以增加升級效率。,眼睛因為長時間盯著螢幕，得以鍛鍊眼部肌肉。,可能因為忽視周遭危險因素造成事故。,D
32,遠離網路沉迷,下列哪一個現象很可能是網路沉迷的徵兆，當自己或家人出現該行為時必須要提高警覺？,可以自己控制使用電腦的時間。,每天出門前都會上網查詢天氣預報。,C. 每天為了玩線上遊戲造成三餐及睡眠都不正常。,使用電腦固定時間會起身作伸展運動。,C
33,遠離網路沉迷,小美買了一臺新筆電，喜歡熬夜與網友聊天，長期累積下來可能會造成什麼後遺症？,網路沉迷，影響自身的身體健康與家庭關係。,視力越來越好，社交能力也越來越好。
,.打字速度變快，個人的工作效率大幅提升。,現實生活中朋友越來越多。,A
34,遠離網路沉迷,小華一發現他在社群網站分享的文章按讚數過低，就會出現焦躁甚至有暴力傾向，請問小華的家人要怎麼樣幫助他？,邀集親朋好友幫忙按讚集氣。,刪除小華的社群網站帳號。,鼓勵小華放輕鬆，且更注意他的網路使用習慣。,斥責小華的暴力行為。,C
35,遠離網路沉迷,以下哪一項是網路沉迷的可能成因？,實體活動的參與意願低。,喜歡從事戶外活動。,喜歡與朋友聊天，常出席社交場合活動。,現實世界中獲得許多成就感。,A
36,辨識網路詐騙,小智收到一封帶有附件檔案的電子郵件，內容描述自己常用的某個網路平臺帳號被盜用，請立即點擊信中連結前往修改密碼，請問下列哪一種處理方式是小智的最佳選擇？,查看附件檔案內容。,利用平臺官網的正式登入頁面進行登入確認，或與官網管理者詢問。,回覆寄件者詢問細節。,立刻點擊連結，修改密碼。,B
37,辨識網路詐騙,收到知名購物網站寄來活動中獎通知郵件時，請問要如何分辨是否收到詐騙的釣魚郵件？        ,到官方網站查詢是否真有此活動訊息。,趕快把這訊息分享給所有社群朋友，讓大家幫你驗證。,立刻點選郵件中的網址，確認是否連到該購物網站。,撥打郵件中提供的客服電話直接詢問。,A
38,辨識網路詐騙,網路交易後接到疑似詐騙的電話，多方的查詢及確認是不二法門，下列哪一種做法較為正確？,撥打165反詐騙專線進行確認。,仔細聽從對方的指示。,不要告訴其他人自己可能被詐騙。,反覆的向對方詢問、確認。,A
39,辨識網路詐騙,小剛透過交友平臺認識一位心儀的女性，該女性常藉口家人生病或投資失敗等各種名義，希望小剛能匯錢給她應急，如果你是小剛，你會怎麼辦？,朋友有難，應立即匯款救援。,盡量避免與網友有金錢上的往來。,馬上謾罵對方，質疑對方詐騙。
,先匯部分錢就好，不要全部匯款。,B
40,辨識網路詐騙,被不明人士使用通訊軟體邀請加入購物群組，以下哪一種是最佳的處理方式？,檢舉該帳號並退出群組。,看看有沒有想要購買的商品。,將通訊軟體從手機移除。,好東西要與好朋友分享，拉朋友一起加入群組。,A
