序號,類別,題目,選項A,選項B,選項C,選項D,答案
21,保護個人資料,網站個人資料外洩事件頻傳，請問以下有關網路上保護個人資料的做法，何者「不恰當」？,非必要時，不要留下完整的個人資料,即使是自己的部落格，也不公開地址、電話等詳細資料,積極參加網路抽獎活動，並且一定要留下完整的個人資料，便於主辦單位通知,使用公用電腦時避免輸入自己的帳號密碼,C
22,保護個人資料,曾有民眾在求職網站填寫履歷時，因不瞭解功能設定，結果個人資料完全曝露了。請問對於上網求職，下列何者正確？,應先詳讀網站對於保護隱私權的聲明和使用功能說明,應填寫假的履歷資料，預防個資外洩,刊登履歷只要曝光度高就好,不要使用求職網站,A
23,保護個人資料,在網站留下個人資料前，應該要注意下列哪一事項？,仔細閱讀該網站的隱私權保護聲明，確認自已的個資如何被保護,確認該網站是否在臺灣註冊,確認該網站是否為知名大公司,確認是否能夠參加抽獎,A
24,保護個人資料,請問網路紀錄 (Cookies)可能會記錄使用者的哪些個人資訊？,電腦開機時，輸入的帳號及密碼,Wi-Fi連線的帳號及密碼,智慧型手機螢幕解鎖的帳號及密碼,在該網站的瀏覽紀錄與登入的帳號及密碼,D
25,重視資訊安全—著作權,如果有人告知我的部落格轉貼文章為侵犯著作權法時，我立刻將該轉貼文章從網站中移除，這樣仍有法律責任嗎？,因為轉貼文章已移除，沒有侵權事實，故無法律責任,當轉貼文章在部落格時就已構成侵權行為，無論事後是否刪除，侵權事實仍然存在。,在部落格中補充說明該轉貼文章的出處後，就可以合法使用無侵權,網路上到處都是轉貼文章，所以應該沒有法律問題，也不需要移除,B
26,重視資訊安全—著作權,過去曾發生許多網友以超連結方式分享影音平臺上的電影，而遭電影代理商控告侵權，請問只是張貼影片的超連結也算違反著作權法嗎？,可能違反著作權法，因為影音平臺上的影片不一定都有合法授權，若該影片為盜版，而網友以超連結方式提供影音檔案，可能會成為違反著作權法的共犯,只要不以營利為目的，只是分享超連結是不會違反著作權法的,只要影音平臺是正派經營，在其平臺上分享的影片就表示有合法授權,只是轉貼影片的超連結，沒有提供該影片檔案，就算明知該影片是盜版，也不會侵害著作權,A
27,重視資訊安全—著作權,依照著作權法，使用電腦和網路時，以下何者是正確的行為？,在別人的部落格上發現有趣的文章就直接把全文轉貼在自己的部落格,購買正版 CD 後燒錄分享給親朋好友,使用正版軟體,下載盜版的音樂,C
28,重視資訊安全—著作權,臺灣著作財產權的保護期間，原則上是著作人的生存期間，加上其死亡後幾年？,10年,20年,50年,70年,C
29,重視資訊安全—網路詐騙,近年來透過網路平臺團購的風氣盛行，但也曾出現藉此詐騙之案例，在參加團購時，以下敘述何者「不正確」？,查看主辦人是否有交易糾紛之不良紀錄,避免購買高單價，且不易點收確認之商品,注意商品之價格與優惠辦法是否合理,選擇當面交易，就不會碰到詐騙行為,D
30,重視資訊安全—網路詐騙,近來常發生在網路上購買機票或報名參加旅行團，付錢後卻遲遲未收到票券，此時才發現是虛設的旅行社。以下何者才是安全的線上購買機票或旅遊行程的方法？,選擇信譽佳的旅行社網站，避免將費用匯款至「個人」帳號,多方比較各家旅行社網站的機票價格，並選擇最低價者,ATM轉帳購票沒有使用信用卡，所以比較安全,網站設計具備現代感，但沒有標示實體聯絡方式的旅遊網站,A
31,重視資訊安全—網路詐騙,在拍賣網站上看到最新型的智慧型手機只賣原價的四分之一，以下敘述何者是比較適當的作法？,事不宜遲立刻下標，並馬上匯款，先買先贏,立刻轉寄給親朋好友，團購優惠可以賺更多,售價過低很可能是詐騙。若決定要購買，應確認賣家可信度，並避免直接匯款,一定是賣家標錯價格，趕快多買幾臺,C
32,重視資訊安全—網路詐騙,網路購物後，接到來電通知說轉帳付款設定錯誤，若不立即到ATM取消設定，將被重複扣款。請問下列敘述何者正確？,立即到ATM操作，以免被扣款,因為真的有購買對方說的商品，所以這確實是購物公司的來電通知,ATM並沒有取消分期付款設定的功能，這一定是詐騙電話，可撥打165反詐騙專線報案,只要不把提款卡密碼給對方，都不會發生被詐騙的情況,C
33,重視資訊安全—不當內容,想要瞭解正確的醫療保健常識，以下哪個網站查詢的資訊可信度較高？,政府衛生單位網站,醫藥產品網站,入口網站的知識區,熱門部落格,A
34,重視資訊安全—不當內容,面對網路上的各種資訊，下列何者「不是」評估網路資訊可信度的面向？,搜尋作者的名字，以間接證實資訊作者的存在,察看網站贊助者，瞭解發布網站的目的或動機,留意網站設計的美觀性、背景顏色是否常更新,留意資訊是否有錯別字、內容是否過於戲劇性誇大,C
35,重視資訊安全—不當內容,以下何種網路內容對兒童及青少年身心發展可能有害，應該避免接觸？,描述觀看電影後的心得與感想,描述賭博、吸毒、販毒等犯罪行為,自助旅行的遊記,烘培蛋糕的食譜,B
36,重視資訊安全—不當內容,張貼下列何種網路資訊，最有可能構成犯罪行為？,最新款智慧型手機開箱文,販賣醫生處方藥,販賣二手摩托車,自製的搞笑動畫,B
37,重視資訊安全—設備安全,現今許多廣告、海報會印出 QR Code，當我們在掃描QR Code時應該注意哪些事項才能確保安全？,掃描後直接就開啟連結,掃描後在開啟之前要先辨識連結網址的合理性,掃描後直接下載要求安裝的軟體,導到奇怪的網址也不用理會,B
38,重視資訊安全—設備安全,下列有關於防範惡意程式入侵的保護措施，何者「不正確」？,避免開啟來路不明的電子郵件,避免更新作業系統,不下載安裝來路不明的App,安裝防毒軟體並定期更新病毒碼,B
39,重視資訊安全—設備安全,下列那一項「不是」保護筆記型電腦、平板電腦、智慧型手機等行動裝置的安全措施？,設定登入密碼,機不離身,必要時才開啟藍芽功能,加記憶體,D
40,重視資訊安全—設備安全,部分交通轉運車站提供公用電腦讓旅客們使用，請問有關正確使用公用電腦，以下敘述何者正確？,登入社群網站分享心情，使用完畢後不需要登出,使用完畢後，清除瀏覽器的cookies、清除密碼與帳號，並登出系統,可透過公用電腦進行線上交易,可在公用電腦上處理敏感性公務,B
