題目分類,題號,答案,題目
著作權,73,○,為了保障國人運用智慧從事創作活動所得的結晶，政府特別立法加以保護。這些法律所規範的商標權、專利權及著作權等等的權利，我們統稱為「智慧財產權（IntellectualPropertyRight），簡稱IPR」。
著作權,74,╳,只要註明作者、出處，就可以隨意使用他人著作。【說明：註明作者、出處是利用人在主張合理使用他人著作時，依著作權法所課予的「義務」，並非只要註明作者、出處，即屬於「合理使用」。】
著作權,75,○,在夜市買了一部盜版韓劇，看完後不能放在網路上販售。
著作權,76,○,我很喜歡某流行天后的歌，但為了保護著作權，不應該上網搜尋未經授權之音樂檔案並免費下載。
著作權,77,╳,阿丹買了一片盜版光碟，看完覺得丟掉可惜，所以可以放在網路上讓網友免費索取。【說明：只要是散布盜版光碟，不管有沒有營利，也不管價值多寡，都是違反著作權法的行為！】
著作權,78,╳,學校每個月都會由各社團舉辦「電影欣賞」，可以租用一般家用的DVD來播放。【說明：因為涉及「公開上映」行為，所以要用已經取得公開上映授權的「公播版」來播放。】
著作權,79,○,掃描並轉寄他人作品，除非獲得著作權人同意，否則會構成侵權行為。
著作權,80,○,將網路上看到的圖片少量下載來自己使用，並沒有散布出去，有主張合理使用的空間。
著作權,81,╳,將目前正熱烈上映的電影檔案放到網路上供人下載，不必負擔法律責任。【說明：處3年以下有期徒刑、拘役，或科或併科新台幣75萬元以下罰金。】
著作權,82,○,不可以將新版作業系統軟體的序號公布在網路上，供網友隨意取用。
著作權,83,○,在網路上利用BT下載網友分享的整套日劇，是侵害著作權的行為。
著作權,84,╳,為了分享好聽的音樂給同學，可以將流行音樂放在自己的部落格供人免費試聽或下載。【說明：未經他人同意或授權，將音樂放在部落格內供人免費試聽或下載，是侵害重製權及公開傳輸權的行為。】
著作權,85,○,在臉書的相簿，貼放像是彎彎、幾米、賤兔之類的圖片，如果先經過著作權人的同意，即不會違法。
著作權,86,╳,小花在他人的部落格看到一篇文章很棒，對所有考生很有幫助，所以她可以把文章複製在自己的部落格裡。【說明：未經他人同意或授權，將他人文章複製放在自己的部落格，是侵害重製權權的行為。】
著作權,87,○,把流行國語歌曲當做部落格的背景音樂，一定要經過同意或授權才可以。
著作權,88,○,小賴寫了一篇專欄投稿到報社，報社除刊登在報紙上，還打算置於網路電子報，需要另外取得小賴的同意。
著作權,89,╳,小薰可以將補習班老師的上課內容錄音後，放到網路上拍賣。【說明：老師的上課內容是「語文著作」，受到著作權法保護，要錄音或拍賣，都要經過老師的同意才可以。】
著作權,90,○,補習班業者的參考試題只要符合原創性等著作權保護要件，阿仁就不能隨便影印給同學練習。
著作權,91,○,阿花利用暑假到外國旅遊的時候，買了幾片盜版的電影DVD，並帶回台灣，屬於違法行為。
著作權,92,○,老王要做公司網頁，需要一些影音資料，可以向著作權集體管理團體申請授權或直接向著作權人取得授權。
著作權,93,╳,小雪這學期修了一門著作權法的課，但因為教科書太貴了，所以她可以把教科書拿去整本影印。【說明：整本影印教科書是違反著作權法的行為喔！】
著作權,94,╳,影印整本書是違反著作權法的行為，所以小雪想了一個idea，就是把圖書館內自己想看的書分次影印，這樣就沒有問題了。【說明：分次影印的目的還是為了要影印完整的一本書，所以並不在合理使用的範圍，還是屬於違反著作權法的行為。】
商標權,95,○,仿冒商標就像是小偷竊取了別人的心血與努力，是一種侵犯他人智慧財產權的行為。
商標權,96,○,支持購買真品，才能鼓勵廠商不斷創作新的產品。
商標權,97,○,商標是辨別商品或服務來源的標識，也是企業透過宣傳廣告，花時間心血建立品牌形象的智慧財產權，我們應該予以尊重。如果被不肖廠商任意仿冒，商標權人可以向司法機關檢舉或提出告訴。
商標權,98,○,如果沒有得到商標權人的同意，就不可以任意仿冒或抄襲別人的商標。
商標權,99,○,做仿冒品、賣仿冒品都是侵害商標權的犯罪行為，而且是公訴罪，千萬不可存僥倖之心而觸法。
專利權,100,○,小明半年前將傳統餐桌改良，並申請台灣新型專利，如今想要進軍美國市場，為防止其專利遭受侵權，需要再申請美國專利。
專利權,101,○,各國專利都有規定專利保護年限，一旦某專利保護年限屆滿，任何人就可自由運用該項專利之技術，不必再受專利權人之約束。
專利權,102,○,發明了一件既新穎、進步又有產業利用性的產品，要趕快到經濟部智慧財產局申請專利，如果沒有提出申請，反而被別人搶先在市面上販售，發明人的心血就白費啦。
專利權,103,○,新式樣是指對物品的形狀、花紋、色彩或其結合，透過視覺訴求的創作，這是可以申請設計專利的。
著作權,104,3,著作財產權的存續期間是著作人的生存期間，加上其死亡後幾年？(1)10年(2)30年(3)50年
著作權,105,2,下列敘述何者不正確？(1)著作權法規定不能盜拷電腦軟體，是因為要尊重他人智慧的結晶。(2)在網路上看到好看的文章、好聽的歌曲，可以將它貼在自己的網站上供網友閱覽。(3)如果只是單純上網瀏覽影片、圖片、文字或聽音樂，並不會違反著作權法。
著作權,106,3,下列何者是財產？(1)陽光(2)空氣(3)人類的智慧結晶
著作權,107,3,法律保障創作和發明，下列那一種行為違反著作權法？(1)偷看別人的書信(2)模仿人家的簽名(3)拷貝電腦遊戲程式送給同學
著作權,108,3,到電腦公司打工，聽從老闆的指示販賣盜版軟體，老闆和打工的人有何責任？(1)老板觸犯著作權法，打工的人無罪(2)只要賠償損失就沒罪(3)老闆、打工的人都觸犯著作權法
著作權,109,3,盜拷遊戲軟體送給同學，是否觸法？(1)只要不賺錢就不違法(2)違反商標法(3)觸犯著作權法
著作權,110,1,抄襲同學的作文，以自己名義去投稿，是否觸法？(1)會違反著作權法(2)是不道德的行為，但不犯法(3)是不合理的行為，但不犯法
著作權,111,3,智慧財產權包括哪些權利：(1)著作權、專利權、商標權(2)積體電路電路布局及營業秘密(3)以上皆是
著作權,112,1,老師的演講廣受各界歡迎，小王筆錄他的演講內容，並刊載於校刊內，請問這著作權是屬於誰的？(1)老師(2)小王(3)老師和小王共有
著作權,113,1,菲菲在智慧大學授課，旁聽的學生小強將授課重點筆錄後，下列何者行為會侵害著作權法？(1)整理賣給補習班印製成講義(2)自己回家複習
著作權,114,2,阿吉買了正版的作業系統軟體，為了展現他的大眾魅力，他將軟體序號公布在網路上供人安裝該軟體，請問阿吉的行為會如何？(1)因為是正版軟體序號，所有人都受益，應獲得眾人肯定。(2)阿吉未經合法授權，而提供公眾使用可以破解他人「防盜拷措施」的資訊，這是違法的，須依法負擔民、刑事侵權責任。
著作權,115,2,阿超很喜歡第4台的某節目，偏偏今晚要補習，因此利用錄放映機先錄下來，等回家再看，請問他的行為是否有違反著作權法？(1)有違反，利用錄影機將電視上播出的節目錄下來，就是構成重製的行為。(2)沒有違反，雖然有重製的行為產生，但是因為只供個人使用且是在合理使用的範圍內，就不構成違反著作權法的行為。
著作權,116,2,阿九付費加入P2P會員，下載了好幾百首網友分享的歌曲來聽，也上傳歌曲讓別人分享，請問阿九會違法嗎？(1)當然不會，因為阿九已繳會費了。(2)繳交會費不等於合法授權，如果上傳或下載行為未經著作權人的授權，仍然是違法的。
著作權,117,2,只印1本且供自己使用，所以並不違法。小芬在影印店影印「生活秘辛」1書，影印1整本供自己使用，請問是否違法？(2)整本影印已經超出合理使用的範圍（會替代市場），所以會有侵害著作權的問題。
著作權,118,4,著作人格權包含哪些權利？(1)公開發表權(2)姓名表示權(3)禁止不當修改權(4)以上皆是
著作權,119,1,小王將他在網路上所收集的圖片燒成1張光碟，並將這片光碟拷貝販賣給同學，請問他的作法是否正確呢？(1)不正確，這種販賣的行為已經侵害著作權人的權利。(2)還算可以，因為這些資源都是網路上隨處可見的，應該是沒有違反著作權法。
著作權,120,1,阿吉為了圖一時的方便，向小強買了大補帖來使用，並把大補帖裡的軟體灌到自己家裡的電腦使用，請問他這樣是否有違反著作權法？(1)當然有，因為他重製了軟體，並且在沒有取得授權下就安裝使用，這屬於盜版行為。(2)並沒有，但是他會受到良心的譴責，並可能對自己電腦造成損害或中毒。
著作權,121,2,阿吉在網路上利用BT下載網友分享的整套日劇，請問有違法嗎？(1)使用BT通常是分散傳，不是全部傳，所以不違法。(2)利用BT下載網友分享未經權利人授權下載之日劇是違法的，不論傳輸的型態是一次完整的傳，或是化整為零的傳。
著作權,122,1,菲菲對於智慧財產權的適用範圍有疑問，請問你知道下列哪些東西是屬於智慧財產權所保障的範圍嗎？(1)作文、繪畫、音樂作曲等(2)金錢、珠寶(3)房地產
著作權,123,2,小華搞不清楚智慧財產權不保障下列哪一種權利，請你幫他找出來吧！(1)商標權(2)人權與自由權(3)專利權及著作權
著作權,124,2,餐廳老闆認為「智慧駭客三部曲」是很好看的電影，於是租借了家用版正版影片，並把這部影片帶到店裡去播放，讓客人共同分享此電影的樂趣，請問是否違反著作權法？(1)沒有吧，因為它使用正版的片子。(2)有喔，放電影給公眾欣賞，應使用「公播版」的影片，否則是侵害著作財產權人的「公開上映權」的行為。
著作權,125,1,小艾用手機自創音樂鈴聲，他是否需要登記才能享有著作權法的保護呢？(1)不需要，自創作完成就可以受著作權法保護，不必作任何登記或申請。(2)需要，自創完成後要作登記或申請，才可以受著作權法保護。
著作權,126,3,大寶和小寶合力完成一件畫作，請問著作權是誰的？(1)大寶的(2)小寶的(3)屬於大寶和小寶兩個人的，為共同著作。
著作權,127,1,金大方在網路上下載沒有經過授權的「陰森洞破關秘笈」檔案並影印給大家分享，這是違反著作權法的行為嗎？(1)是喔，這種行為已超出合理使用範圍，是屬於侵害重製權的行為。(2)應該還好吧！網路不就是要給大家下載的嗎！
著作權,128,2,參加高中職海報大賽，如果我利用老師建議我的新點子來設計這張海報，請問這張海報的著作權是歸誰享有？(1)歸老師享有，因為是老師的點子。(2)歸我享有，因為著作權法是保護著作的表達，不保護觀念、構想，由他人提供點子而自行創作之海報，著作權當然屬於我的。(3)歸老師和我共有。
著作權,129,3,下列哪一種權利不必到經濟部智慧財產局申請，就可享有？(1)專利權(2)商標權(3)著作權
著作權,130,1,小聰明以日文創作完成「智慧都市WALKING」旅遊書，小華想將它翻譯成中文加以出版，是否需要取得小聰明同意？(1)需要，因為翻譯屬於改作原著作的行為，所以要經過原著作人的同意。(2)不需要。
著作權,131,2,菲菲將阿布買來的單機版作業系統程式灌進自己和妹妹的電腦中，心想自己真聰明賺到，請問是真的嗎？(1)真的！因為灌入的程式是正版的就可以了。(2)不是的！因為單機版的作業系統程式，只限1台機器使用，將該作業系統同時安裝在多台電腦內使用，是侵害他人「重製權」的行為。
著作權,132,4,菲菲在85年8月30日創作完成一幅畫，並在90年6月6日死亡，請問這幅畫的著作財產權存續至哪一天？(1)135年8月30日(2)135年12月31日(3)140年6月6日(4)140年12月31日
著作權,133,3,郝英俊15歲寫了一篇文章，並在80歲的時候死亡，請問郝英俊這篇文章的著作財產權共存續了幾年？(1)65年(2)80年(3)115年
著作權,134,5,著作的利用是否合於合理使用，其判斷的基準為何？(1)著作利用的目的是營利性，還是非營利性(2)著作是否已公開發表(3)著作利用的量佔整個著作的比例高還是低(4)著作利用的結果是否會造成市場替代效應(5)以上4種情形都應判斷
著作權,135,4,學生舉辦校際觀摩或比賽，在什麼情形下可以不經著作財產權人授權而演唱或演奏他人的音樂？(1)非以營利為目的(2)未對觀眾或聽眾直接或間接收取任何費用(3)未對表演人支付報酬(4)以上3種條件都具備的情形下
著作權,136,1,利用德國人的音樂編曲，要不要徵求著作財產權人的同意？（1）要喔，德國與我國都是世界貿易組織（WTO）的會員，所以德國人的著作同受我國著作權法的保護，除有符合合理使用的情形外，應取得同意或授權。（2）不需要，因為我們不保護外國人的著作。
著作權,137,2,我想在自己的部落格裡，提供其他網站的網址連結，單純的超連結會不會侵害著作權？（1）一定不會，因為並沒有轉貼內容。（2）原則上不會，但如果明知道連結的網頁是有關軟體密碼破解、電影和音樂免錢聽、免錢看等侵害著作權的網站，這樣就會有侵害著作權的風險。
著作權,138,1,利用手機拍攝社團學生發表的戲劇表演，在未經過同意或授權的情形下，下列何者是違反著作權法的行為？（1）放到網路上供網友欣賞。（2）自己回家欣賞。
著作權,139,1,下列敘述何者不正確？（1）在網路上看到很好的文章，可以任意擷取幾篇精華，將它貼在自己的網站上供網友閱覽。（2）如果只是單純上網瀏覽影片、圖片、文字或聽音樂，並不會違反著作權法。
著作權,140,2,小明寫了一篇文章，其中引用了小花所寫另一篇文章的80%，但已註明出處，是否違法？（1）當然不會，因為小明已註明小花姓名及出處。（2）會喔，引用應在合理範圍內，小明引用小花所寫文章多達80%，已經超出「合理使用」範圍。
著作權,141,2,阿吉在圖書館影印時，常看到「請尊重著作權，勿影印超過三分之一」的標示，請問是不是只要沒有印超過三分之一就是合法的？（1）當然啊！它都寫了「勿影印超過三分之一」，所以只要不超過三分之一就好啦！（2）事實上，在著作權法中並沒有任何條文規定「影印只要不超過三分之一，就是屬於合理使用」，而是應逐案做判斷，所以這種說法是一種誤解，應該導正。
著作權,142,3,小布將一本義大利文的小說原著翻譯成英文，小薰再將英文版翻譯成中文，若小艾要將中文版拍成電影，請問要得到誰的授權？（1）只要小薰的授權就可以了。（2）只要小布的授權就可以了。（3）要得到義大利文原著作者、小布（英譯本作者）及小薰（中譯本作者）3人的授權。
著作權,143,2,小明為了寫報告，要如何利用他人的著作，才不會違反著作權法？（1）因為是寫報告之需，所以可以大量引用。（2）在「少量引用」並註明出處的情形下，就不會有侵害著作權的問題。
著作權,144,2,小傑非常喜歡小薰，所以寫了一封情書希望能夠打動小薰的心，結果小薰將情書貼在佈告欄，請問是否違反著作權？（1）沒有違反！貼在佈告欄不構成侵犯著作權。（2）最好不要！這會侵害著作人享有的公開發表權。
著作權,145,1,阿迪開了一家「生活咖啡店」，在店裡播放賣場買來的電影（家用版）以吸引客戶，請問是否違反著作權法？（1）是，「家用版」就不能拿來當「營業用」（公開上映），將家用版電影任意放給公眾欣賞，是侵害著作財產權人的「公開上映權」的行為。（2）沒有吧，片子是花錢買來的，而且是正版，當然有權播放。
著作權,146,1,小恩喜歡於假日參加各種演講活動，藉由聆聽不同演講獲得心靈上的啟發，最近聆聽了知名學者方老師有關「30歲前人生必做的15件事」演講內容後深受感動，欲將演講錄音並於臉書分享給年輕朋友，是否有侵害著作權的問題呢？（1）是，方老師的演講屬於著作權法所保護之「語文著作」，小恩將演講內容之錄音檔放在臉書分享，會涉及語文著作之「重製」及「公開傳輸」，上述行為皆應取得著作財產權人的同意或授權後，始得為之。（2）否，既然方老師已經於公開場合對不特定人士進行演講，任何人可以錄音並加以利用。
著作權,147,1,我可以趁出國時，從國外買很多片原版音樂CD或DVD，放到網路上拍賣嗎？（1）不可以喔，自己在國外購買CD或DVD時，只能供自己個人非散布之利用或隨著行李每一著作輸入「1份」，超出規定的數量，都是不合法的，當然也不可以上網拍賣。（2）可以啊，都是正版的當然可以。
著作權,148,2,在網路論壇分享未經他人授權的MP3音樂，要負擔什麼責任？（1）不需負擔責任。（2）涉及侵害「重製權」及「公開傳輸權」，會有民事賠償及刑事處罰的法律責任。
著作權,149,1,唱片公司委託小布寫一首歌，在沒有約定著作權歸屬的情形下，請問誰享有這首歌的著作權？（1）小布，但唱片公司可以利用這首歌。（2）唱片公司。
著作權,150,1,著作權法所稱的「著作」，包括文學、科學、藝術或其他學術範圍的創作，共分為11類，請問是那11類？（1）語文著作，音樂著作，戲劇、舞蹈著作、美術著作、攝影著作、圖形著作、視聽著作、錄音著作、建築著作、電腦程式著作及表演等。（2）交通號誌、法律條文、公文書、公式、標語、新聞報導、數表、簿冊、表格、時曆及通用之符號等。
著作權,151,1,著作權保護的期間有多久？（1）除了攝影、視聽、錄音和表演外，著作財產權保護的期間為著作人的終身(生存的期間)到死後50年(第50年當年的最後一天)。（2）創作完成後50年。
著作權,152,2,大賣場、百貨公司為了提供良好消費環境，播放流行音樂CD，請問是否要取得授權？(1)不需要，因為買的是正版CD，所以可以公開播放。（2）需要喔！在公共場所播放CD音樂，會涉及「公開演出」，必須分別得到音樂著作及錄音著作財產權人的同意或授權才可以。
著作權,153,2,合法軟體所有人可以自己使用正版軟體，同時將備用存檔軟體借給別人使用嗎？（1）可以喔，因為我是買正版的軟體，所以可以將備用檔出借。（2）不可以！正版軟體的所有人，可以因為「備份存檔」之需要複製1份，但複製1份僅能做為備份，不能借給別人使用。
著作權,154,1,公司職員在職務上完成的電腦程式，如果沒有特別約定，則著作財產權歸誰所有？（1）歸公司所有。（2）歸職員所有。
著作權,155,2,小布完成了一篇偉大的著作，請問應該要如何取得著作權？（1）到經濟部智慧財產局申請著作權保護。（2）當著作完成時起即取得著作權，不需另行向政府單位申請或註冊。
著作權,156,2,小明想上網拍賣動漫的公仔，但因沒有數位照相機，所以到他人的拍賣網頁下載同一公仔產品的照片，是否須要取得他人的授權？（1）不需要，數位傻瓜照相機拍出來的照片，不是攝影著作，不受著作權法保護。（2）要喔，縱使是數位傻瓜相機拍出來的照片，只要符合最起碼的創意，仍是攝影著作，仍受著作權法保護。
著作權,157,2,小艾買了小布寫的「如何在30歲前成為億萬富翁的30種方法」，照著書中方法去做，果真成為一位億萬富翁，請問小布是否可告小艾侵權？（1）可以，因為小艾此種行為確實已侵權。（2）不可以，因為小艾只是吸收書裡的觀念，並沒有任何侵害著作權的行為。
著作權,158,1,小薰投稿校刊，但校刊編輯小明打算稍加刪減後刊登，請問這樣可以嗎？（1）小明在未損害原作者名譽前提下，是可以稍微刪減內容的。（2）小明無權修改小薰的作品。
著作權,159,2,陳教授是一位熱心研究明朝繪畫的學者，近日欲將所蒐集的明朝藝術家繪畫作品編入「匠心獨運—明代繪畫名家作品展集」一書並加以出版，有關可能涉及的著作權問題，請問下列敘述何者正確？（1）陳教授之利用行為涉及美術著作之重製、散布行為，由於美術著作之著作人享有「重製」、「散布」之權利，陳教授應先取得著作財產權人之同意或授權，始得利用。（2）著作財產權係存續於著作人之生存期間及其死亡後50年，陳教授所利用之繪畫作品已超過上述存續期間，因此無須取得授權即可利用。
著作權,160,2,即將畢業的大學生阿凡想於謝師宴上，獻唱一首曲子感謝老師多年來辛苦的教導，是否會侵害著作權呢？（1）是，阿凡的行為已利用到著作財產權人的音樂著作，須經過著作財產權人之同意或授權，才可公開演出。（2）否，阿凡於謝師宴上演唱曲子之行為，符合「非以營利為目的」、「未對觀眾或聽眾直接或間接收取任何費用」及「未對表演人支付報酬」三項要件。因此，阿凡對於在特定活動中公開演出他人已發表之著作，可以主張合理使用。
